vowel F1(Hz) F2(Hz) F3(Hz) rateF2(Hz/ms) f0Median(Hz) Baseline(Hz) SpectEmph(dB) 
I 412 1650 1993 -1.5 184 180 22.9 
I 410 1804 1995 -1.0 182 --undefined-- 26.4 
U 485 751 2212 -13.4 153 149 30.9 
E 471 1555 1790 2.7 121 116 37.4 
Ia 618 1338 1851 -1.5 96 93 39.6 
E 428 1680 1810 16.1 167 148 25.0 
eh 511 1293 1518 -2.7 182 179 27.3 
A 605 1213 1807 1.2 132 128 27.7 
U 468 973 1873 0.6 126 122 37.2 
eh 511 1601 1762 3.4 119 119 43.5 
A 518 1314 1461 -4.9 119 112 31.3 
A 527 1358 1583 0.9 125 102 39.3 
a 709 1391 1852 4.6 114 102 32.7 
O 548 1000 1448 2.2 125 123 31.4 
e 472 1460 1799 2.3 145 138 28.1 
aI 666 1429 1806 -0.3 138 137 32.3 
A 703 1188 2355 0.3 140 134 33.0 
a 664 1255 2088 -1.8 137 133 46.4 
E 547 1463 1708 -6.6 132 131 41.9 
a 780 1311 1935 2.6 113 103 35.6 
E 490 1639 1799 4.9 127 127 33.9 
E 465 1825 1912 4.9 136 122 26.3 
A 640 1452 1977 -8.3 125 112 37.3 
Ia 399 1542 2099 2.9 199 121 22.2 
i 392 1663 1897 2.6 179 174 25.5 
A 726 1253 1800 0.9 111 105 31.5 
U 419 843 2069 -4.8 170 129 33.0 
i 414 1971 1995 -6.6 124 117 31.0 
a 699 1221 2005 -4.0 122 119 39.9 
U 469 1144 1555 -0.7 122 121 26.1 
a 670 1166 2039 2.2 116 115 36.8 
I 445 1789 2030 1.9 113 112 31.2 
eI 412 941 2109 8.5 107 100 34.2 
U 471 842 2223 -7.6 236 208 25.1 
i 359 1656 2072 3.2 166 146 44.2 
E 454 1587 1837 4.1 155 141 26.6 
oI 506 1237 1837 -1.5 163 157 35.5 
O 466 1122 2037 -1.0 149 143 27.3 
aI 581 1452 1778 6.9 145 144 39.2 
A 633 1190 2267 4.8 136 128 29.9 
a 706 1259 1966 -7.3 140 138 52.3 
E 501 1526 1747 -3.9 133 129 27.4 
a 798 1291 1946 4.4 112 92 36.1 
U 461 922 1943 -2.7 134 134 24.9 
eh 581 1770 2019 2.9 145 128 38.6 
I 499 1734 1924 8.0 129 120 32.4 
oh 618 887 2002 -1.7 134 128 44.3 
A 564 1313 1884 6.1 143 141 33.6 
U 422 1098 1883 -3.0 183 178 24.9 
A 593 1224 1441 0.4 124 119 30.3 
